"CodeCom";"NomCom";"CodeDep";"AnneeCreationCom";"PopDGF2017";"PopDGF2018";"PopInsee2018";"DF2016";"DF2017";"DF2018";"PF4Taxes2017";"PF4Taxes2018";"RRF2018";"PartDynPop";"MtEcretement"
"35289";"SAINT-MALO-DE-PHILY";"35";2014;1148;1167;1108;78586;72385;73783;565112;573443;790608;1398;0
"35290";"SAINT-MALON-SUR-MEL";"35";2014;639;630;602;63654;59751;59148;258508;268310;396306;-603;0
"35291";"SAINT-MARCAN";"35";2014;525;523;461;49759;46232;46102;175907;183537;328337;-130;0
"35292";"SAINT-MARC-LE-BLANC";"35";2014;1434;1458;1392;155485;148898;150721;772444;735590;807115;1823;0
"35293";"SAINT-MARC-SUR-COUESNON";"35";2014;591;591;577;59307;55847;55847;218795;277969;407199;0;0
"35294";"SAINTE-MARIE";"35";2014;2392;2375;2325;214582;196904;195523;1262654;1276836;1542462;-1381;0
"35295";"SAINT-MAUGAN";"35";2014;582;578;566;56612;53230;52966;229217;235947;300934;-264;0
"35296";"SAINT-MEDARD-SUR-ILLE";"35";2014;1417;1390;1355;129594;121631;119593;718234;656698;963992;-2038;0
"35297";"SAINT-MEEN-LE-GRAND";"35";2014;4797;4831;4783;519688;482608;485490;3103978;3142744;4297870;3021;139
"35299";"SAINT-MELOIR-DES-ONDES";"35";2014;4169;4269;4109;285941;263390;272144;2231183;2452439;3120731;8754;0
"35300";"SAINT-M'HERVE";"35";2014;1438;1433;1414;154296;145100;144524;806382;824802;963036;-379;197
"35301";"SAINT-M'HERVON";"35";2014;554;562;562;59826;57506;58032;207271;213960;387580;526;0
"35302";"SAINT-ONEN-LA-CHAPELLE";"35";2014;1242;1226;1217;129599;125762;124576;593944;640898;684655;-1186;0
"35303";"SAINT-OUEN-LA-ROUERIE";"35";2014;892;901;832;132141;127230;127867;434653;496629;516685;637;0
"35304";"SAINT-OUEN-DES-ALLEUX";"35";2014;1348;1343;1313;172754;162096;161721;466476;599163;1126343;-375;0
"35305";"SAINT-PERAN";"35";2014;420;423;410;34152;32686;32879;172490;181402;255158;193;0
"35306";"SAINT-PERE";"35";2014;2462;2454;2419;258094;244430;243777;1024699;1143356;1937135;-653;0
"35307";"SAINT-PERN";"35";2014;1039;1050;1037;51558;40073;38297;729357;745497;812324;797;2573
"35308";"SAINT-PIERRE-DE-PLESGUEN";"35";2014;2962;3010;2888;319436;301208;305229;1366631;1421863;2314431;4021;0
"35309";"SAINT-REMY-DU-PLAIN";"35";2014;876;871;847;98516;94241;93889;362667;420245;426676;-352;0
